Sample_ID,District,Soil_Type,Canal_Access,Soil_pH,Moisture_%,Rainfall_mm,Recommended_Irrigation_Liters
468,Charsadda,Sandy,Yes,7.16,6.75,83,365.9
469,Multan,Clay,Yes,6.41,22.83,142,491.5
470,Charsadda,Loamy,Yes,7.82,30.58,64,256.3
471,Khairpur,Sandy,Yes,8.3,5.34,78,467.2
472,Charsadda,Clay,Yes,6.94,17.33,12,648.1
473,Swat,Loamy,No,7.24,10.8,16,579.3
474,Multan,Loamy,Yes,7.19,32.14,58,209.7
475,Sukkur,Loamy,Yes,6.63,17.59,26,519.7
476,Swat,Silty,No,8.46,17.75,141,531.9
477,DI Khan,Clay,No,6.97,18.69,151,607.8
478,Sukkur,Loamy,Yes,8.22,29.65,79,299.9
479,Multan,Loamy,Yes,7.36,10.0,16,710.8
480,Khairpur,Sandy,Yes,5.58,20.89,166,204.5
481,Mardan,Silty,Yes,7.48,31.76,21,333.1
482,Charsadda,Peaty,Yes,6.68,12.88,178,616.3
483,Mardan,Loamy,Yes,5.59,20.42,107,371.2
484,Bahawalpur,Sandy,Yes,7.73,28.2,30,242.4
485,Mardan,Loamy,Yes,8.11,33.85,148,119.3
486,Multan,Loamy,Yes,6.65,12.26,117,387.6
487,Charsadda,Loamy,Yes,7.35,29.4,154,110.4
488,Charsadda,Clay,Yes,8.42,24.92,42,636.4
489,Bahawalpur,Sandy,Yes,7.05,11.65,66,341.3
490,Sukkur,Clay,Yes,8.21,28.95,59,586.8
491,Bahawalpur,Peaty,Yes,7.36,25.32,92,553.6
492,Charsadda,Peaty,Yes,5.93,19.29,57,844.1
493,Mardan,Silty,Yes,5.76,15.7,97,557.2
494,Sukkur,Silty,Yes,7.06,20.86,24,443.9
495,Multan,Sandy,Yes,5.73,28.12,197,60.2
496,Sukkur,Loamy,Yes,6.91,13.85,182,294.8
497,Bahawalpur,Clay,Yes,6.35,10.97,176,659.0
498,Charsadda,Peaty,Yes,6.36,32.62,10,556.0
499,Sukkur,Sandy,Yes,7.44,22.22,199,40.3
500,Bahawalpur,Clay,Yes,6.06,28.44,121,418.5
1000,Lahore,Loamy,Yes,7.59,34.34,107,124.6
1001,Lahore,Loamy,Yes,6.72,13.05,99,430.9
1002,Lahore,Loamy,Yes,7.36,16.43,13,526.0
1003,Lahore,Loamy,Yes,7.18,11.4,90,452.0
1004,Lahore,Loamy,Yes,7.19,11.91,109,429.0
1005,Lahore,Loamy,Yes,7.58,25.07,93,288.6
1006,Lahore,Loamy,Yes,6.98,16.17,95,334.4
1007,Lahore,Loamy,Yes,7.37,28.06,62,259.0
1008,Lahore,Loamy,Yes,6.42,18.59,70,428.7
1009,Lahore,Loamy,Yes,6.58,18.77,143,322.0
1010,Lahore,Loamy,Yes,7.29,10.41,148,398.4
1011,Lahore,Loamy,Yes,6.4,24.03,104,256.8
1012,Lahore,Loamy,Yes,7.09,20.73,139,234.9
1013,Lahore,Loamy,Yes,7.04,6.59,61,567.8
1014,Lahore,Loamy,Yes,6.5,33.95,189,30.9
1015,Lahore,Loamy,Yes,6.97,30.24,26,270.8
1016,Lahore,Loamy,Yes,6.87,27.26,97,183.3
1017,Lahore,Loamy,Yes,6.87,14.73,60,422.9
1018,Lahore,Loamy,Yes,6.89,18.44,154,239.5
1019,Lahore,Loamy,Yes,7.04,18.82,155,265.4
1020,Lahore,Loamy,Yes,7.12,29.01,187,56.2
1021,Lahore,Loamy,Yes,6.93,28.9,143,100.6
1022,Lahore,Loamy,Yes,7.15,7.08,71,517.5
1023,Lahore,Loamy,Yes,6.9,23.0,145,216.6
1024,Lahore,Loamy,Yes,7.19,5.21,84,584.1
1025,Lahore,Loamy,Yes,6.76,21.24,121,272.7
1026,Lahore,Loamy,Yes,6.88,24.77,26,333.1
1027,Lahore,Loamy,Yes,7.14,10.09,156,349.7
1028,Lahore,Loamy,Yes,7.5,34.25,54,197.5
1029,Lahore,Loamy,Yes,7.6,30.36,33,284.4
1030,Lahore,Loamy,Yes,7.37,21.49,32,419.9
1031,Lahore,Loamy,Yes,7.01,25.9,85,227.4
1032,Lahore,Loamy,Yes,6.86,22.71,188,141.2
1033,Lahore,Loamy,Yes,6.97,28.14,173,82.1
1034,Lahore,Loamy,Yes,7.34,5.72,54,619.6
1035,Lahore,Loamy,Yes,6.78,32.32,6,260.8
1036,Lahore,Loamy,Yes,6.82,15.82,83,407.8
1037,Lahore,Loamy,Yes,7.03,21.05,63,311.6
1038,Lahore,Loamy,Yes,6.75,10.78,70,517.8
1039,Lahore,Loamy,Yes,6.56,32.56,165,58.3
1040,Lahore,Loamy,Yes,6.9,11.98,90,421.4
1041,Lahore,Loamy,Yes,7.01,32.68,76,128.8
1042,Faisalabad,Clay,Yes,7.68,27.56,12,665.2
1043,Faisalabad,Clay,Yes,6.76,25.17,142,448.9
1044,Faisalabad,Clay,Yes,6.97,34.2,191,165.3
1045,Faisalabad,Clay,Yes,7.95,6.19,197,724.4
1046,Faisalabad,Clay,Yes,7.47,27.83,37,580.2
1047,Faisalabad,Clay,Yes,6.93,22.88,18,602.6
1048,Faisalabad,Clay,Yes,7.27,18.34,20,781.8
1049,Faisalabad,Clay,Yes,7.64,23.89,48,643.5
1050,Faisalabad,Clay,Yes,7.13,29.82,116,371.3
1051,Faisalabad,Clay,Yes,7.34,23.87,51,526.0
1052,Faisalabad,Clay,Yes,7.21,31.77,167,277.4
1053,Faisalabad,Clay,Yes,7.4,14.31,150,620.6
1054,Faisalabad,Clay,Yes,6.58,31.86,11,556.5
1055,Faisalabad,Clay,Yes,6.63,6.06,150,843.1
1056,Faisalabad,Clay,Yes,7.63,22.95,67,619.3
1057,Faisalabad,Clay,Yes,6.8,31.3,65,377.9
1058,Faisalabad,Clay,Yes,7.41,14.87,11,874.7
1059,Faisalabad,Clay,Yes,6.9,13.94,179,578.4
1060,Faisalabad,Clay,Yes,7.47,9.05,192,678.3
1061,Faisalabad,Clay,Yes,7.09,32.93,71,360.9
1062,Faisalabad,Clay,Yes,7.36,7.78,21,1057.4
1063,Faisalabad,Clay,Yes,7.22,6.58,9,972.2
1064,Faisalabad,Clay,Yes,6.94,11.44,152,674.7
1065,Faisalabad,Clay,Yes,7.28,5.17,199,785.7
1066,Faisalabad,Clay,Yes,7.26,21.17,178,446.4
1067,Faisalabad,Clay,Yes,7.44,16.96,166,618.6
1068,Faisalabad,Clay,Yes,7.12,13.96,97,717.8
1069,Faisalabad,Clay,Yes,7.75,12.14,132,750.8
1070,Faisalabad,Clay,Yes,7.75,10.87,95,797.9
1071,Faisalabad,Clay,Yes,7.24,33.06,63,376.9
1072,Faisalabad,Clay,Yes,7.32,6.17,158,840.7
1073,Faisalabad,Clay,Yes,7.14,33.58,97,296.4
1074,Faisalabad,Clay,Yes,7.74,8.3,167,814.7
1075,Faisalabad,Clay,Yes,6.68,27.22,5,600.7
1076,Faisalabad,Clay,Yes,7.81,27.04,21,615.0
1077,Faisalabad,Clay,Yes,7.12,29.23,99,412.8
1078,Faisalabad,Clay,Yes,7.47,29.24,139,356.7
1079,Faisalabad,Clay,Yes,7.1,21.18,79,569.9
1080,Faisalabad,Clay,Yes,7.09,13.24,0,744.6
1081,Faisalabad,Clay,Yes,6.68,18.49,185,503.2
1082,Faisalabad,Clay,Yes,7.47,24.33,56,548.5
1083,Faisalabad,Clay,Yes,7.47,15.27,142,646.9
1084,Gujranwala,Loamy,Yes,6.95,34.7,125,52.0
1085,Gujranwala,Loamy,Yes,7.74,17.71,142,342.3
1086,Gujranwala,Loamy,Yes,7.22,21.26,48,369.8
1087,Gujranwala,Loamy,Yes,7.43,29.21,96,204.3
1088,Gujranwala,Loamy,Yes,6.66,34.44,22,203.1
1089,Gujranwala,Loamy,Yes,6.87,22.09,160,182.3
1090,Gujranwala,Loamy,Yes,6.8,19.63,111,296.8
1091,Gujranwala,Loamy,Yes,6.83,24.39,184,134.3
1092,Gujranwala,Loamy,Yes,6.78,18.76,191,196.3
1093,Gujranwala,Loamy,Yes,6.53,16.22,180,307.2
1094,Gujranwala,Loamy,Yes,7.01,12.46,74,456.7
1095,Gujranwala,Loamy,Yes,7.21,11.71,114,387.1
1096,Gujranwala,Loamy,Yes,7.07,17.38,129,302.5
1097,Gujranwala,Loamy,Yes,6.6,15.34,40,470.9
1098,Gujranwala,Loamy,Yes,7.25,17.33,140,320.7
1099,Gujranwala,Loamy,Yes,8.02,16.02,97,509.9
1100,Gujranwala,Loamy,Yes,7.07,20.13,73,343.6
1101,Gujranwala,Loamy,Yes,7.03,7.23,46,543.0
1102,Gujranwala,Loamy,Yes,7.32,25.96,15,380.0
1103,Gujranwala,Loamy,Yes,6.87,33.83,113,82.0
1104,Gujranwala,Loamy,Yes,6.9,13.17,116,337.4
1105,Gujranwala,Loamy,Yes,7.14,29.62,22,307.1
1106,Gujranwala,Loamy,Yes,7.09,23.9,67,274.7
1107,Gujranwala,Loamy,Yes,7.09,19.36,180,212.4
1108,Gujranwala,Loamy,Yes,6.99,19.65,95,295.4
1109,Gujranwala,Loamy,Yes,7.08,15.7,191,241.7
1110,Gujranwala,Loamy,Yes,7.16,33.0,172,31.4
1111,Gujranwala,Loamy,Yes,6.79,23.21,64,315.6
1112,Gujranwala,Loamy,Yes,7.11,23.55,133,216.6
1113,Gujranwala,Loamy,Yes,7.08,22.49,45,363.2
1114,Gujranwala,Loamy,Yes,7.15,11.88,6,511.9
1115,Gujranwala,Loamy,Yes,7.57,13.31,172,336.0
1116,Gujranwala,Loamy,Yes,7.45,31.77,14,306.7
1117,Gujranwala,Loamy,Yes,6.81,32.33,87,136.5
1118,Gujranwala,Loamy,Yes,6.97,5.19,5,633.6
1119,Gujranwala,Loamy,Yes,7.27,12.5,75,393.6
1120,Gujranwala,Loamy,Yes,7.2,16.78,32,441.1
1121,Gujranwala,Loamy,Yes,6.59,13.76,24,536.5
1122,Gujranwala,Loamy,Yes,6.85,33.67,81,142.4
1123,Gujranwala,Loamy,Yes,7.27,27.01,176,107.3
1124,Gujranwala,Loamy,Yes,7.21,30.79,60,208.0
1125,Gujranwala,Loamy,Yes,7.86,12.37,174,368.9
1126,Sialkot,Loamy,Yes,7.17,18.5,103,342.4
1127,Sialkot,Loamy,Yes,6.69,26.89,191,91.4
1128,Sialkot,Loamy,Yes,6.86,28.78,44,248.0
1129,Sialkot,Loamy,Yes,7.57,30.13,32,244.6
1130,Sialkot,Loamy,Yes,6.9,15.66,58,423.9
1131,Sialkot,Loamy,Yes,7.15,7.52,109,519.6
1132,Sialkot,Loamy,Yes,6.93,22.94,190,134.2
1133,Sialkot,Loamy,Yes,6.68,25.11,50,325.8
1134,Sialkot,Loamy,Yes,7.31,9.67,129,411.0
1135,Sialkot,Loamy,Yes,7.28,31.26,82,191.3
1136,Sialkot,Loamy,Yes,6.75,16.69,10,478.9
1137,Sialkot,Loamy,Yes,6.79,6.73,186,401.2
1138,Sialkot,Loamy,Yes,6.68,15.25,165,323.2
1139,Sialkot,Loamy,Yes,6.4,18.47,171,289.6
1140,Sialkot,Loamy,Yes,6.45,29.01,15,338.7
1141,Sialkot,Loamy,Yes,7.43,12.42,177,305.8
1142,Sialkot,Loamy,Yes,6.6,9.58,12,633.9
1143,Sialkot,Loamy,Yes,6.45,21.29,163,246.3
1144,Sialkot,Loamy,Yes,6.59,16.5,83,369.1
1145,Sialkot,Loamy,Yes,7.46,14.17,68,466.6
1146,Sialkot,Loamy,Yes,6.53,23.91,80,305.4
1147,Sialkot,Loamy,Yes,6.64,28.47,111,181.0
1148,Sialkot,Loamy,Yes,7.36,27.41,184,100.6
1149,Sialkot,Loamy,Yes,7.09,13.54,67,458.1
1150,Sialkot,Loamy,Yes,6.96,20.28,162,197.5
1151,Sialkot,Loamy,Yes,6.54,16.49,9,511.4
1152,Sialkot,Loamy,Yes,7.23,6.71,197,350.9
1153,Sialkot,Loamy,Yes,6.25,30.01,27,326.0
1154,Sialkot,Loamy,Yes,7.06,12.2,146,354.1
1155,Sialkot,Loamy,Yes,6.92,24.74,41,302.8
1156,Sialkot,Loamy,Yes,7.1,22.7,30,323.8
1157,Sialkot,Loamy,Yes,7.27,11.05,92,451.0
1158,Sialkot,Loamy,Yes,7.78,26.53,159,195.1
1159,Sialkot,Loamy,Yes,7.23,31.58,65,203.2
1160,Sialkot,Loamy,Yes,6.93,12.78,34,546.4
1161,Sialkot,Loamy,Yes,7.13,7.12,117,518.0
1162,Sialkot,Loamy,Yes,6.86,22.13,130,231.5
1163,Sialkot,Loamy,Yes,7.34,28.9,71,242.0
1164,Sialkot,Loamy,Yes,7.48,31.2,98,184.2
1165,Sialkot,Loamy,Yes,6.77,11.58,58,529.0
1166,Sialkot,Loamy,Yes,7.1,19.14,139,272.7
1167,Sialkot,Loamy,Yes,6.91,18.05,86,332.5
1168,Sahiwal,Sandy,Yes,7.56,25.16,127,113.2
1169,Sahiwal,Sandy,Yes,7.3,30.58,114,62.7
1170,Sahiwal,Sandy,Yes,7.32,26.0,39,226.5
1171,Sahiwal,Sandy,Yes,7.24,23.55,186,29.8
1172,Sahiwal,Sandy,Yes,7.37,12.02,13,426.7
1173,Sahiwal,Sandy,Yes,7.68,32.33,0,212.3
1174,Sahiwal,Sandy,Yes,7.6,25.73,25,272.5
1175,Sahiwal,Sandy,Yes,6.94,15.37,6,384.5
1176,Sahiwal,Sandy,Yes,7.82,10.95,134,289.3
1177,Sahiwal,Sandy,Yes,7.2,31.15,84,76.8
1178,Sahiwal,Sandy,Yes,7.48,13.81,52,362.8
1179,Sahiwal,Sandy,Yes,7.24,19.38,196,62.1
1180,Sahiwal,Sandy,Yes,7.62,29.8,98,115.7
1181,Sahiwal,Sandy,Yes,7.19,20.49,151,107.5
1182,Sahiwal,Sandy,Yes,7.65,18.77,107,219.9
1183,Sahiwal,Sandy,Yes,7.0,21.6,149,74.8
1184,Sahiwal,Sandy,Yes,7.31,24.32,192,27.7
1185,Sahiwal,Sandy,Yes,7.16,22.08,28,235.2
1186,Sahiwal,Sandy,Yes,7.51,13.2,96,293.6
1187,Sahiwal,Sandy,Yes,7.42,34.15,108,34.7
1188,Sahiwal,Sandy,Yes,7.16,23.79,171,36.9
1189,Sahiwal,Sandy,Yes,7.18,29.28,21,156.4
1190,Sahiwal,Sandy,Yes,7.38,14.95,155,185.5
1191,Sahiwal,Sandy,Yes,7.17,12.74,134,207.9
1192,Sahiwal,Sandy,Yes,7.36,12.07,109,257.9
1193,Sahiwal,Sandy,Yes,7.53,32.72,63,121.8
1194,Sahiwal,Sandy,Yes,7.8,27.16,11,254.9
1195,Sahiwal,Sandy,Yes,7.75,28.78,87,160.3
1196,Sahiwal,Sandy,Yes,7.47,10.6,57,400.8
1197,Sahiwal,Sandy,Yes,7.83,29.07,142,92.8
1198,Sahiwal,Sandy,Yes,7.23,28.34,91,99.0
1199,Sahiwal,Sandy,Yes,6.75,20.34,60,233.6
1200,Sahiwal,Sandy,Yes,7.71,28.86,81,147.2
1201,Sahiwal,Sandy,Yes,7.37,17.05,87,231.4
1202,Sahiwal,Sandy,Yes,7.67,11.07,7,434.4
1203,Sahiwal,Sandy,Yes,7.77,12.16,34,435.5
1204,Sahiwal,Sandy,Yes,7.67,12.62,108,298.9
1205,Sahiwal,Sandy,Yes,7.71,19.01,75,261.3
1206,Sahiwal,Sandy,Yes,7.55,11.03,83,380.5
1207,Sahiwal,Sandy,Yes,8.14,9.27,82,415.8
1208,Sahiwal,Sandy,Yes,7.05,7.76,58,396.2
1209,Sahiwal,Sandy,Yes,7.22,29.09,43,181.2
1210,Rawalpindi,Loamy,No,6.69,26.67,40,377.2
1211,Rawalpindi,Loamy,No,7.16,13.48,69,514.0
1212,Rawalpindi,Loamy,No,6.67,21.68,0,496.3
1213,Rawalpindi,Loamy,No,6.08,15.52,193,397.6
1214,Rawalpindi,Loamy,No,6.68,23.92,3,491.7
1215,Rawalpindi,Loamy,No,6.62,16.45,163,340.9
1216,Rawalpindi,Loamy,No,6.35,8.6,100,534.3
1217,Rawalpindi,Loamy,No,6.42,31.58,102,242.1
1218,Rawalpindi,Loamy,No,6.71,31.63,29,303.5
1219,Rawalpindi,Loamy,No,6.48,20.45,190,265.7
1220,Rawalpindi,Loamy,No,6.46,6.12,119,620.1
1221,Rawalpindi,Loamy,No,6.07,23.11,196,269.5
1222,Rawalpindi,Loamy,No,6.45,30.44,31,332.0
1223,Rawalpindi,Loamy,No,6.56,28.09,25,379.9
1224,Rawalpindi,Loamy,No,6.68,28.0,151,188.5
1225,Rawalpindi,Loamy,No,6.88,9.53,88,540.4
1226,Rawalpindi,Loamy,No,6.86,10.8,29,531.8
1227,Rawalpindi,Loamy,No,6.9,14.08,73,495.6
1228,Rawalpindi,Loamy,No,6.34,5.7,126,601.3
1229,Rawalpindi,Loamy,No,6.36,13.6,138,454.6
1230,Rawalpindi,Loamy,No,6.61,11.62,167,468.5
1231,Rawalpindi,Loamy,No,6.83,9.6,186,392.4
1232,Rawalpindi,Loamy,No,6.6,18.03,114,443.8
1233,Rawalpindi,Loamy,No,6.85,25.87,17,448.6
1234,Rawalpindi,Loamy,No,7.13,18.15,194,259.9
1235,Rawalpindi,Loamy,No,5.93,31.76,84,308.6
1236,Rawalpindi,Loamy,No,7.33,30.68,41,324.9
1237,Rawalpindi,Loamy,No,6.67,15.99,67,526.5
1238,Rawalpindi,Loamy,No,5.88,34.22,3,397.3
1239,Rawalpindi,Loamy,No,6.59,22.61,1,477.3
1240,Rawalpindi,Loamy,No,6.35,8.73,25,668.8
1241,Rawalpindi,Loamy,No,6.28,28.2,80,323.4
1242,Rawalpindi,Loamy,No,6.71,28.65,71,282.4
1243,Rawalpindi,Loamy,No,6.76,26.39,119,263.7
1244,Rawalpindi,Loamy,No,6.17,6.95,163,518.0
1245,Rawalpindi,Loamy,No,5.99,8.74,57,700.2
1246,Rawalpindi,Loamy,No,6.33,6.56,76,682.7
1247,Rawalpindi,Loamy,No,7.04,21.68,94,325.0
1248,Rawalpindi,Loamy,No,6.47,17.58,14,546.0
1249,Rawalpindi,Loamy,No,6.87,13.77,181,367.7
1250,Rawalpindi,Loamy,No,6.08,23.64,134,346.4
1251,Rawalpindi,Loamy,No,6.54,17.95,4,593.8
1252,Islamabad,Loamy,No,6.07,8.61,163,516.4
1253,Islamabad,Loamy,No,6.77,17.87,161,364.2
1254,Islamabad,Loamy,No,6.24,20.41,21,512.0
1255,Islamabad,Loamy,No,6.65,29.34,176,146.6
1256,Islamabad,Loamy,No,6.45,32.09,168,127.0
1257,Islamabad,Loamy,No,7.1,12.98,53,574.0
1258,Islamabad,Loamy,No,6.29,24.9,140,295.0
1259,Islamabad,Loamy,No,6.87,25.34,153,231.6
1260,Islamabad,Loamy,No,6.66,19.48,53,460.9
1261,Islamabad,Loamy,No,7.13,28.94,63,280.0
1262,Islamabad,Loamy,No,6.53,22.76,145,289.3
1263,Islamabad,Loamy,No,6.77,28.22,172,151.3
1264,Islamabad,Loamy,No,6.77,21.62,171,274.7
1265,Islamabad,Loamy,No,6.74,28.76,154,164.3
1266,Islamabad,Loamy,No,6.36,32.98,154,140.5
1267,Islamabad,Loamy,No,6.48,29.32,171,155.4
1268,Islamabad,Loamy,No,6.17,11.58,4,697.4
1269,Islamabad,Loamy,No,6.87,18.3,176,309.3
1270,Islamabad,Loamy,No,6.38,23.34,105,350.3
1271,Islamabad,Loamy,No,6.99,16.19,121,425.6
1272,Islamabad,Loamy,No,6.43,24.0,119,316.3
1273,Islamabad,Loamy,No,6.27,14.65,196,372.4
1274,Islamabad,Loamy,No,6.7,11.12,45,579.7
1275,Islamabad,Loamy,No,6.81,20.83,172,249.5
1276,Islamabad,Loamy,No,6.76,11.22,52,634.3
1277,Islamabad,Loamy,No,6.65,8.43,199,400.1
1278,Islamabad,Loamy,No,6.24,9.95,108,564.1
1279,Islamabad,Loamy,No,6.37,16.98,113,459.3
1280,Islamabad,Loamy,No,6.96,14.74,74,504.2
1281,Islamabad,Loamy,No,6.65,32.27,112,185.9
1282,Islamabad,Loamy,No,6.37,30.28,136,214.2
1283,Islamabad,Loamy,No,7.11,9.8,169,469.6
1284,Islamabad,Loamy,No,7.33,10.1,125,522.5
1285,Islamabad,Loamy,No,6.77,5.83,24,667.2
1286,Islamabad,Loamy,No,6.34,31.12,1,360.0
1287,Islamabad,Loamy,No,6.32,16.39,59,534.7
1288,Islamabad,Loamy,No,6.47,15.25,52,505.0
1289,Islamabad,Loamy,No,6.01,34.16,49,319.4
1290,Islamabad,Loamy,No,6.15,13.27,134,512.4
1291,Islamabad,Loamy,No,6.51,17.01,32,528.6
1292,Islamabad,Loamy,No,6.42,13.74,138,472.1
1293,Islamabad,Loamy,No,6.36,8.81,192,471.1
1294,Peshawar,Silty,Yes,7.41,18.71,165,287.4
1295,Peshawar,Silty,Yes,7.53,20.68,15,512.5
1296,Peshawar,Silty,Yes,7.41,20.93,78,423.6
1297,Peshawar,Silty,Yes,6.44,16.09,83,477.1
1298,Peshawar,Silty,Yes,6.56,18.81,9,523.1
1299,Peshawar,Silty,Yes,6.88,31.54,85,197.9
1300,Peshawar,Silty,Yes,7.33,29.17,142,195.7
1301,Peshawar,Silty,Yes,7.48,10.72,27,731.5
1302,Peshawar,Silty,Yes,7.52,6.12,167,596.1
1303,Peshawar,Silty,Yes,7.54,7.21,171,450.2
1304,Peshawar,Silty,Yes,6.92,21.0,187,192.6
1305,Peshawar,Silty,Yes,7.02,17.89,162,316.1
1306,Peshawar,Silty,Yes,7.36,30.91,156,154.4
1307,Peshawar,Silty,Yes,7.04,28.2,154,155.9
1308,Peshawar,Silty,Yes,6.95,5.27,145,571.2
1309,Peshawar,Silty,Yes,7.31,6.47,71,604.6
1310,Peshawar,Silty,Yes,6.68,14.51,29,597.4
1311,Peshawar,Silty,Yes,7.09,24.16,103,313.8
1312,Peshawar,Silty,Yes,6.82,23.65,39,419.4
1313,Peshawar,Silty,Yes,7.4,25.2,198,199.1
1314,Peshawar,Silty,Yes,6.78,32.67,19,295.4
1315,Peshawar,Silty,Yes,7.44,13.3,144,452.6
1316,Peshawar,Silty,Yes,7.48,9.52,140,557.2
1317,Peshawar,Silty,Yes,6.94,33.82,190,30.3
1318,Peshawar,Silty,Yes,7.09,33.15,23,273.8
1319,Peshawar,Silty,Yes,6.92,17.24,112,409.2
1320,Peshawar,Silty,Yes,6.52,7.89,1,676.5
1321,Peshawar,Silty,Yes,6.76,22.36,191,202.8
1322,Peshawar,Silty,Yes,6.91,31.1,165,105.0
1323,Peshawar,Silty,Yes,7.12,7.68,189,433.5
1324,Peshawar,Silty,Yes,7.23,19.12,102,366.6
1325,Peshawar,Silty,Yes,6.79,13.47,123,427.9
1326,Peshawar,Silty,Yes,7.64,21.1,133,330.1
1327,Peshawar,Silty,Yes,7.01,21.39,122,326.2
1328,Peshawar,Silty,Yes,6.22,12.38,107,591.9
1329,Peshawar,Silty,Yes,7.27,31.59,160,115.8
1330,Peshawar,Silty,Yes,6.77,6.01,40,725.7
1331,Peshawar,Silty,Yes,6.64,8.01,199,460.9
1332,Peshawar,Silty,Yes,6.81,20.35,139,323.3
1333,Peshawar,Silty,Yes,6.62,20.45,13,515.2
1334,Peshawar,Silty,Yes,7.06,6.26,114,578.6
1335,Peshawar,Silty,Yes,7.16,9.47,13,717.5
1336,Quetta,Sandy,No,7.58,30.1,103,162.3
1337,Quetta,Sandy,No,8.18,11.44,102,405.0
1338,Quetta,Sandy,No,7.46,29.03,139,113.6
1339,Quetta,Sandy,No,7.69,14.28,187,210.6
1340,Quetta,Sandy,No,7.95,28.0,158,143.7
1341,Quetta,Sandy,No,8.1,15.04,165,280.6
1342,Quetta,Sandy,No,7.83,10.11,120,424.1
1343,Quetta,Sandy,No,8.32,6.99,49,592.9
1344,Quetta,Sandy,No,8.2,11.98,179,315.3
1345,Quetta,Sandy,No,7.56,9.14,44,517.8
1346,Quetta,Sandy,No,7.64,15.38,173,258.2
1347,Quetta,Sandy,No,7.78,14.32,120,340.8
1348,Quetta,Sandy,No,8.12,13.65,25,495.1
1349,Quetta,Sandy,No,8.08,33.34,123,159.5
1350,Quetta,Sandy,No,7.52,13.63,123,319.8
1351,Quetta,Sandy,No,7.62,18.61,56,375.7
1352,Quetta,Sandy,No,8.01,32.57,195,41.0
1353,Quetta,Sandy,No,7.66,13.29,131,316.8
1354,Quetta,Sandy,No,8.19,25.21,135,230.9
1355,Quetta,Sandy,No,7.92,17.26,76,383.4
1356,Quetta,Sandy,No,7.45,15.17,116,291.0
1357,Quetta,Sandy,No,7.69,23.26,77,261.9
1358,Quetta,Sandy,No,7.83,14.75,144,326.0
1359,Quetta,Sandy,No,7.15,9.83,197,242.3
1360,Quetta,Sandy,No,7.66,22.57,186,127.3
1361,Quetta,Sandy,No,7.57,26.2,190,81.4
1362,Quetta,Sandy,No,8.06,5.04,135,427.7
1363,Quetta,Sandy,No,7.68,30.43,119,151.1
1364,Quetta,Sandy,No,7.71,24.85,75,269.9
1365,Quetta,Sandy,No,7.31,5.58,19,532.3
1366,Quetta,Sandy,No,7.49,13.93,118,318.0
1367,Quetta,Sandy,No,7.73,17.37,155,218.0
1368,Quetta,Sandy,No,7.25,34.58,34,172.9
1369,Quetta,Sandy,No,8.26,15.49,148,350.5
1370,Quetta,Sandy,No,7.75,14.69,22,506.3
1371,Quetta,Sandy,No,7.47,24.37,155,133.2
1372,Quetta,Sandy,No,7.96,25.41,124,226.9
1373,Quetta,Sandy,No,7.8,26.26,60,279.3
1374,Quetta,Sandy,No,7.62,21.33,2,368.1
1375,Quetta,Sandy,No,8.09,11.74,49,515.7
1376,Quetta,Sandy,No,7.69,33.8,78,155.0
1377,Quetta,Sandy,No,7.82,9.53,22,473.4
1378,Karachi,Sandy,No,7.48,25.96,45,302.3
1379,Karachi,Sandy,No,8.12,22.39,24,399.0
1380,Karachi,Sandy,No,7.59,6.99,112,401.1
1381,Karachi,Sandy,No,7.82,7.18,22,539.8
1382,Karachi,Sandy,No,7.47,14.43,87,343.8
1383,Karachi,Sandy,No,7.78,9.43,188,284.4
1384,Karachi,Sandy,No,7.69,27.59,157,109.4
1385,Karachi,Sandy,No,8.13,20.98,33,418.7
1386,Karachi,Sandy,No,7.58,29.89,48,274.0
1387,Karachi,Sandy,No,7.36,7.83,164,281.2
1388,Karachi,Sandy,No,7.71,26.35,180,112.6
1389,Karachi,Sandy,No,7.25,25.47,79,232.5
1390,Karachi,Sandy,No,8.5,13.79,132,403.6
1391,Karachi,Sandy,No,8.5,13.67,149,366.8
1392,Karachi,Sandy,No,7.88,20.95,1,402.5
1393,Karachi,Sandy,No,7.99,7.37,169,387.4
1394,Karachi,Sandy,No,8.07,25.46,100,266.1
1395,Karachi,Sandy,No,7.7,18.07,71,375.8
1396,Karachi,Sandy,No,8.04,20.19,101,313.1
1397,Karachi,Sandy,No,7.37,11.93,189,209.1
1398,Karachi,Sandy,No,7.85,22.93,167,194.9
1399,Karachi,Sandy,No,7.4,19.32,92,266.5
1400,Karachi,Sandy,No,8.05,20.84,34,422.8
1401,Karachi,Sandy,No,8.47,31.97,60,285.5
1402,Karachi,Sandy,No,8.09,11.7,30,516.0
1403,Karachi,Sandy,No,7.93,24.37,143,194.9
1404,Karachi,Sandy,No,8.28,23.23,123,306.8
1405,Karachi,Sandy,No,8.03,19.01,122,295.4
1406,Karachi,Sandy,No,7.68,32.57,143,84.1
1407,Karachi,Sandy,No,8.26,30.4,193,93.5
1408,Karachi,Sandy,No,7.29,20.43,178,140.8
1409,Karachi,Sandy,No,7.85,19.61,159,231.8
1410,Karachi,Sandy,No,7.4,13.38,96,329.0
1411,Karachi,Sandy,No,8.17,25.02,186,148.5
1412,Karachi,Sandy,No,7.79,10.48,47,522.6
1413,Karachi,Sandy,No,8.0,8.21,99,469.7
